country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
US,,2020-01-22,-42,1,0,,,,,,
US,,2020-01-23,-41,1,0,,,,,,
US,,2020-01-24,-40,2,0,,,,,,
US,,2020-01-25,-39,2,0,,,,,,
US,,2020-01-26,-38,5,0,,,,,,
US,,2020-01-27,-37,5,0,,,,,,
US,,2020-01-28,-36,5,0,,,,,,
US,,2020-01-29,-35,5,0,,,,,,
US,,2020-01-30,-34,5,0,,,,,,
US,,2020-01-31,-33,7,0,,,,,,
US,,2020-02-01,-32,8,0,,,,,,
US,,2020-02-02,-31,8,0,,,,,,
US,,2020-02-03,-30,11,0,,,,,,
US,,2020-02-04,-29,11,0,,,,,,
US,,2020-02-05,-28,11,0,,,,,,
US,,2020-02-06,-27,11,0,,,,,,
US,,2020-02-07,-26,11,0,,,,,,
US,,2020-02-08,-25,11,0,,,,,,
US,,2020-02-09,-24,11,0,,,,,,
US,,2020-02-10,-23,11,0,,,,,,
US,,2020-02-11,-22,12,0,,,,,,
US,,2020-02-12,-21,12,0,,,,,,
US,,2020-02-13,-20,13,0,,,,,,
US,,2020-02-14,-19,13,0,,,,,,
US,,2020-02-15,-18,13,0,,,,,,
US,,2020-02-16,-17,13,0,,,,,,
US,,2020-02-17,-16,13,0,,,,,,
US,,2020-02-18,-15,13,0,,,,,,
US,,2020-02-19,-14,13,0,,,,,,
US,,2020-02-20,-13,13,0,,,,,,
US,,2020-02-21,-12,15,0,,,,,,
US,,2020-02-22,-11,15,0,,,,,,
US,,2020-02-23,-10,15,0,,,,,,
US,,2020-02-24,-9,15,0,,,,,,
US,,2020-02-25,-8,15,0,,,,,,
US,,2020-02-26,-7,15,0,,,,,,
US,,2020-02-27,-6,16,0,,,,,,
US,,2020-02-28,-5,16,0,,,,,,
US,,2020-02-29,-4,24,1,,,,,,
US,,2020-03-01,-3,30,1,,,,,,
US,,2020-03-02,-2,53,6,,,,,,
US,,2020-03-03,-1,73,7,,,,,,
US,,2020-03-04,0,104,11,,,,,,
US,,2020-03-05,1,174,12,,,,,,
US,,2020-03-06,2,222,14,,,,,,
US,,2020-03-07,3,337,17,,,,,,
US,,2020-03-08,4,451,21,,,,,,
US,,2020-03-09,5,519,22,,,,,,
US,,2020-03-10,6,711,28,,,,,,
US,,2020-03-11,7,1109,33,,,,,,
US,,2020-03-12,8,1561,43,,,,,,
US,,2020-03-13,9,2157,52,,,,,,
US,,2020-03-14,10,2870,58,,,,,,
US,,2020-03-15,11,2968,70,,,,,,
US,,2020-03-16,12,4360,97,,,,,,
US,,2020-03-17,13,6141,132,,,,,,
US,,2020-03-18,14,8917,191,,,,,,
US,,2020-03-19,15,14157,269,,,,,,
US,,2020-03-20,16,19479,368,,,,,,
US,,2020-03-21,17,25825,463,,,,,,
US,,2020-03-22,18,33761,611,,,,,,
US,,2020-03-23,19,43850,798,,,,,,
US,,2020-03-24,20,54112,1040,,,,,,
US,,2020-03-25,21,66055,1356,,,,,,
US,,2020-03-26,22,84091,1778,,,,,,
US,,2020-03-27,23,102276,2341,,,,,,
US,,2020-03-28,24,122069,2995,,,,,,
US,,2020-03-29,25,141205,3629,,,,,,
US,,2020-03-30,26,162707,4463,,,,,,
US,,2020-03-31,27,188724,5718,,,,,,
US,,2020-04-01,28,214205,6986,,,,,,
US,,2020-04-02,29,244610,8599,,,,,,
US,,2020-04-03,30,276547,9936,,,,,,
US,,2020-04-04,31,309699,11263,,,,,,
US,,2020-04-05,32,337573,12765,,,,,,
US,,2020-04-06,33,367215,14504,,,,,,
US,,2020-04-07,34,397992,16883,,,,,,
US,,2020-04-08,35,429686,19065,,,,,,
US,,2020-04-09,36,464442,21216,,,,,,
US,,2020-04-10,37,497943,23362,,,,,,
US,,2020-04-11,38,527969,25486,,,,,,
US,,2020-04-12,39,556522,27336,,,,,,
US,,2020-04-13,40,581813,29242,,,,,,
US,,2020-04-14,41,608878,31699,,,,,,
US,,2020-04-15,42,637974,34308,,,,,,
US,,2020-04-16,43,669272,36483,,,,,,
US,,2020-04-17,44,701996,39149,,,,,,
US,,2020-04-18,45,730337,41594,,,,,,
US,,2020-04-19,46,756375,42870,,,,,,
US,,2020-04-20,47,783716,44704,,,,,,
US,,2020-04-21,48,809318,47208,,,,,,
US,,2020-04-22,49,837422,49639,,,,,,
US,,2020-04-23,50,871617,52108,,,,,,
US,,2020-04-24,51,907908,54262,,,,,,
US,,2020-04-25,52,940829,55959,,,,,,
US,,2020-04-26,53,968518,57289,,,,,,
US,,2020-04-27,54,990983,58756,,,,,,
US,,2020-04-28,55,1015518,60997,,,,,,
US,,2020-04-29,56,1043038,63518,,,,,,
US,,2020-04-30,57,1072667,65842,,,,,,
US,,2020-05-01,58,1106829,67733,,,,,,
US,,2020-05-02,59,1136024,69425,,,,,,
US,,2020-05-03,60,1161611,70546,,,,,,
US,,2020-05-04,61,1184086,71879,,,,,,
US,,2020-05-05,62,1208271,74197,,,,,,
US,,2020-05-06,63,1233527,76560,,,,,,
US,,2020-05-07,64,1261409,78496,,,,,,
US,,2020-05-08,65,1288587,80243,,,,,,
US,,2020-05-09,66,1314320,81731,,,,,,
US,,2020-05-10,67,1334084,82625,,,,,,
US,,2020-05-11,68,1352962,83640,,,,,,
US,,2020-05-12,69,1375152,85266,,,,,,
US,,2020-05-13,70,1396110,87029,,,,,,
US,,2020-05-14,71,1423727,88812,,,,,,
US,,2020-05-15,72,1449027,90493,,,,,,
US,,2020-05-16,73,1474128,91709,,,,,,
US,,2020-05-17,74,1493132,92467,,,,,,
US,,2020-05-18,75,1514901,93243,,,,,,
US,,2020-05-19,76,1535350,94798,,,,,,
US,,2020-05-20,77,1559157,96377,,,,,,
US,,2020-05-21,78,1584512,97611,,,,,,
US,,2020-05-22,79,1608653,98884,,,,,,
US,,2020-05-23,80,1630476,100014,,,,,,
US,,2020-05-24,81,1651289,100628,,,,,,
US,,2020-05-25,82,1670280,101151,,,,,,
US,,2020-05-26,83,1689163,101846,,,,,,
US,,2020-05-27,84,1707445,103364,,,,,,
US,,2020-05-28,85,1730260,104556,,,,,,
US,,2020-05-29,86,1754764,105727,,,,,,
US,,2020-05-30,87,1779214,106706,,,,,,
US,,2020-05-31,88,1799124,107297,,,,,,
US,,2020-06-01,89,1816479,108074,,,,,,
US,,2020-06-02,90,1837374,109117,,,,,,
US,,2020-06-03,91,1857332,110128,,,,,,
US,,2020-06-04,92,1878683,111151,,,,,,
US,,2020-06-05,93,1903907,112100,,,,,,
US,,2020-06-06,94,1926639,112787,,,,,,
US,,2020-06-07,95,1944370,113234,,,,,,
US,,2020-06-08,96,1961785,113747,,,,,,
US,,2020-06-09,97,1979912,114692,,,,,,
US,,2020-06-10,98,2000706,115610,,,,,,
US,,2020-06-11,99,2023656,116498,,,,,,
US,,2020-06-12,100,2048986,117330,,,,,,
US,,2020-06-13,101,2074542,118093,,,,,,
US,,2020-06-14,102,2094366,118401,,,,,,
US,,2020-06-15,103,2114026,118792,,,,,,
US,,2020-06-16,104,2137731,119635,,,,,,
US,,2020-06-17,105,2163290,120387,,,,,,
US,,2020-06-18,106,2191099,121097,,,,,,
US,,2020-06-19,107,2222579,121769,,,,,,
US,,2020-06-20,108,2255328,122382,,,,,,
US,,2020-06-21,109,2281767,122666,,,,,,
US,,2020-06-22,110,2312303,123053,,,,,,
US,,2020-06-23,111,2347491,123900,,,,,,
US,,2020-06-24,112,2382426,124664,,,,,,
US,,2020-06-25,113,2422299,125223,,,,,,
US,,2020-06-26,114,2467554,125835,,,,,,
US,,2020-06-27,115,2510259,126335,,,,,,
US,,2020-06-28,116,2549864,126586,,,,,,
US,,2020-06-29,117,2590668,126950,,,,,,
US,,2020-06-30,118,2636414,127685,,,,,,
US,,2020-07-01,119,2687588,128372,,,,,,
US,,2020-07-02,120,2742049,129096,,,,,,
US,,2020-07-03,121,2795361,129749,,,,,,
US,,2020-07-04,122,2841241,130020,,,,,,
US,,2020-07-05,123,2891124,130319,,,,,,
US,,2020-07-06,124,2936077,130670,,,,,,
US,,2020-07-07,125,2996098,131894,,,,,,
US,,2020-07-08,126,3054699,132744,,,,,,
US,,2020-07-09,127,3117946,133756,,,,,,
US,,2020-07-10,128,3185737,134586,,,,,,
US,,2020-07-11,129,3245925,135277,,,,,,
US,,2020-07-12,130,3304942,135728,,,,,,
US,,2020-07-13,131,3364157,136117,,,,,,
US,,2020-07-14,132,3431574,137045,,,,,,
US,,2020-07-15,133,3498902,138013,,,,,,
US,,2020-07-16,134,3576157,138966,,,,,,
US,,2020-07-17,135,3647715,139886,,,,,,
US,,2020-07-18,136,3711413,140756,,,,,,
US,,2020-07-19,137,3773260,141201,,,,,,
US,,2020-07-20,138,3834677,141715,,,,,,
US,,2020-07-21,139,3899211,142824,,,,,,
US,,2020-07-22,140,3970121,144035,,,,,,
US,,2020-07-23,141,4038816,145156,,,,,,
US,,2020-07-24,142,4112531,146279,,,,,,
US,,2020-07-25,143,4178970,147180,,,,,,
US,,2020-07-26,144,4233923,147657,,,,,,
US,,2020-07-27,145,4290337,148782,,,,,,
US,,2020-07-28,146,4356206,150150,,,,,,
US,,2020-07-29,147,4426982,151586,,,,,,
US,,2020-07-30,148,4495015,152802,,,,,,
US,,2020-07-31,149,4562107,154048,,,,,,
US,,2020-08-01,150,4620592,155159,,,,,,
US,,2020-08-02,151,4668172,155565,,,,,,
US,,2020-08-03,152,4713540,156104,,,,,,
